"BT+HB+MCF","BT+HB+MVW","BT+HB+MHV","BT+HA+MCF","BT+HA+MVW","BT+HA+MHV","GAFES(pop:30,gen:100)","SPLConfig"
"1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.5683997624122288","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.9609106307670359","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.8415509094461006","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.8314220214101113","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.5743634021920735","1.1204285970785377"
"1.0","1.0","1.0","1.0","1.0","1.0","0.7744679586655435","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.8431793883188186","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.9871862444706314","0.9871862444706314"
"1.0","1.0","1.0","1.0","1.0","1.0","0.9109827458572871","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.9667224888590789","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.8616798845718963","1.0"
"1.0","1.0","1.0","1.0","0.8649127611378623","1.0","0.8418998884596426","1.1198311538065253"
"0.9812156405521898","1.0","1.0","0.9812156405521898","1.0","1.0","0.5994890835831084","0.9880755583941255"
"1.0","1.0","1.0","1.0","1.0","1.0","0.5039310734800125","0.9675886373128"
"1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"1.0","0.9549889662252273","1.0","1.0","0.8969418906848078","1.0","0.8733682646375294","1.0364082260271228"
"1.0","1.0","1.0","1.0","1.0","1.0","0.9845565662405897","1.2354333605143748"
"1.0","1.0","1.0","1.0","1.0","1.0","0.807936053618948","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.9645263138276928","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.5103437270435809","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.9444026593132596","0.9444026593132596"
"1.0","1.0","1.0","1.0","0.9975928602560956","1.0","0.8987282729811867","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.8210133467237498","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.8354002801412248","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.4779244304696138"
"1.0","1.0","1.0","1.0","1.0","1.0","0.5884282800929368","1.0"
"1.0","1.0","1.0","1.0","0.7877939842944394","1.0","0.6486277399132382","1.014302673883193"
"1.0","1.0","1.0","1.0","1.0","1.0","0.6891623279365465","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.731250767513293","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.9671210525267528","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.5354349307461042","0.0"
